"Sample","Binding.Perc","Average_Conc_pg.ml","CV.Perc","Weight_mg","Buffer_nl","Spike","Failed_samples","Average_Conc_ug.dL","Vol_methanol_ml","Buffer_ml","final_conc_pg.mg"
"11",71.6,513.2,4.5,17.5,250,0,NA,0.05132,1.3,0.25,9.53085714285714
"12",30,2728,1.92,24.1,250,1,NA,0.2728,1.3,0.25,-11.0985477178423
"13",32.1,2477,3.68,16.8,250,1,NA,0.2477,1.3,0.25,-25.6324404761905
"14",31.8,2504,2.11,13.8,250,1,NA,0.2504,1.3,0.25,-29.9329710144928
"15",66.2,643.6,11.1,12,60,0,NA,0.06436,1.3,0.06,4.1834
"16",26.8,3196,4.47,23.4,60,1,NA,0.3196,1.3,0.06,0.376666666666666
"18",56,955.4,1.74,30.8,250,0,NA,0.09554,1.3,0.25,10.0813311688312
"19",24.1,3730,12,27.9,60,1,NA,0.373,1.3,0.06,3.30172043010753
"21",31.6,2540,6.63,28,250,1,NA,0.254,1.3,0.25,-13.9169642857143
"22",33,2377,1.03,21.5,250,1,NA,0.2377,1.3,0.25,-23.0523255813954
"23",60.9,793.6,4.88,24.6,250,0,NA,0.07936,1.3,0.25,10.4845528455285
"24",64.8,680.2,5.26,20.4,250,0,NA,0.06802,1.3,0.25,10.8365196078431
"26",37.3,1991,14.6,20.2,60,0,NA,0.1991,1.3,0.06,7.6880198019802
"27",46,1393,2.43,21.6,60,0,NA,0.1393,1.3,0.06,5.03027777777778
"28",59.5,839.7,10.3,23.2,250,0,NA,0.08397,1.3,0.25,11.7630387931034
"29",36.2,2072,11.2,36.5,60,0,NA,0.2072,1.3,0.06,4.42783561643836
"3",33.9,2287,6.09,11,60,1,NA,0.2287,1.3,0.06,-12.09
"30A",28.8,2888,0.565,29.6,250,1,NA,0.2888,1.3,0.25,-5.52280405405406
"31",51.2,1149,9.75,21.2,60,0,NA,0.1149,1.3,0.06,4.22745283018868
"32",50,1197,3.69,37.1,250,0,NA,0.1197,1.3,0.25,10.4858490566038
"33",52.3,1100,1.73,33.8,250,0,NA,0.11,1.3,0.25,10.5769230769231
"34",51.7,1124,0.867,35.5,250,0,NA,0.1124,1.3,0.25,10.2901408450704
"36",53.2,1062,3.68,31.2,250,0,NA,0.1062,1.3,0.25,11.0625
"37",36.1,2076,5.62,30.8,60,0,NA,0.2076,1.3,0.06,5.2574025974026
"38",32.5,2444,10.2,34.7,60,0,NA,0.2444,1.3,0.06,5.49371757925072
"5",72.1,501.4,3.79,14.4,60,0,NA,0.05014,1.3,0.06,2.71591666666667
"6",34.7,2204,6.75,13.7,60,1,NA,0.2204,1.3,0.06,-10.6524087591241
"7",30.5,2669,6.25,16.4,60,1,NA,0.2669,1.3,0.06,-4.47548780487805
"8",77.8,386.8,11.7,15.3,250,0,NA,0.03868,1.3,0.25,8.21633986928104
"9",30.3,2693,5.46,19.2,250,1,NA,0.2693,1.3,0.25,-15.1158854166667
